feature	Ackermannviridae	Aliceevansviridae	Allomimiviridae	Autographiviridae	Casjensviridae	Chaseviridae	Crevaviridae	Demerecviridae	Draupnirviridae	Drexlerviridae	Epsomviridae	Felixviridae	Guelinviridae	Helgolandviridae	Herelleviridae	Inoviridae	Intestiviridae	Konodaiviridae	Kyanoviridae	Lakviridae	Mesyanzhinovviridae	Microviridae	Mimiviridae	Orlajensenviridae	Peduoviridae	Phycodnaviridae	Rountreeviridae	Salasmaviridae	Schitoviridae	Speroviridae	Steigviridae	Straboviridae	Suoliviridae	Toyamaviridae	Unclassified	Vilmaviridae	Zierdtviridae
CON27	12440.8013	1328.975	35.0247	0.6434	5351.8318	9047.5861	173.7467	914.3992	0	1215.7321	263.7144	0.5294	1788.0027	0	6666.0423	177.7563	701.2425	66.4514	3514.8312	458.4854	647.779	935.9696	837.5899	125.226	11615.0697	2398.3983	0.2368	11496.4932	317.4365	9.0365	0.6006	21835.5457	488.4187	66.2928	14198.1279	85.6222	903.6962
CON28	3014.411	3083.4537	18.8388	0.4945	5737.4414	827.3728	0	5280.0735	0	1592.3561	461.7046	0.8545	0.1196	0	7318.7321	13.0652	125.9695	82.2654	2226.6392	199.904	331.8126	418.4347	848.6222	7556.4746	20354.694	798.5525	0	6140.992	307.0796	0	0	20106.1337	0.5779	150.467	10612.7138	23.381	4824.9267
CON29	8869.0064	3502.8075	7.9199	266.3373	4249.2923	6276.7711	0	2962.5174	0	1959.2669	334.5014	0.8437	0	0	6956.6352	82.7047	1712.639	42.381	1218.4198	706.1079	823.7231	11.7919	920.6207	1325.8056	18283.8844	1950.8605	0.4387	3858.1156	693.7892	0.4645	0.1913	21951.4922	0	27.1223	13173.4967	52.4281	913.7024
CON30	6040.9416	4851.0804	7.2974	12.5521	3084.2417	2211.006	25.165	1099.799	0	450.6775	2711.8459	0	12.6918	0	5884.4764	95.324	0	602.4411	968.753	313.8628	1379.0193	5.0323	3374.8764	739.2972	13943.152	1565.273	12.8979	5995.0491	258.3131	0	0	16576.4238	162.8106	16.6597	12562.6213	56.1951	2180.094
CON31	6825.4749	5262.2979	334.7406	5.1743	2344.1937	1851.7898	0.3252	523.5877	0	3515.7855	2094.8737	0.0618	9.3539	0	11502.1701	19.0896	0	64.285	1349.7143	177.9009	256.1275	0.2304	170.5522	238.8359	12393.1498	803.6413	5.9169	5305.3832	66.7475	0	0	18626.5186	25.8141	15.0175	19026.1326	73.8451	543.2453
CON32	5916.525	8345.5657	130.8513	0.3658	1758.1652	2401.2785	2.4639	905.693	288.6897	424.9898	4311.1865	0.1147	0.1663	0	7729.3202	31.4224	0	329.5417	1513.3572	369.854	557.5589	6.874	5659.4067	314.2713	13263.0379	1130.4973	3.3292	3440.5198	406.0193	0	0	15274.7917	161.2195	184.813	14524.0632	1564.0658	926.8695
CON33	6153.7104	1714.7639	11.9514	11.801	2980.5717	3010.3631	633.0897	711.0826	0	1411.9012	209.7202	0.597	1184.7702	0	7265.7352	236.2309	62.7308	623.5718	2530.4718	457.29	336.8838	4.2249	1815.3003	258.9141	11814.6358	2786.5535	0.5503	4923.6827	169.7754	0	0	21422.699	6.416	93.26	15630.4882	57.4105	425.5974
CON34	8792.1746	2667.0826	171.5803	30.6885	2156.1516	2791.4674	0	3437.4849	0	1429.4589	766.557	3.3622	0.9695	0	5905.4488	60.8677	0	62.3928	1119.3675	509.4303	594.7255	4.9194	1708.8509	1198.7384	11236.0878	838.8626	9.2412	11400.7388	339.9071	0	0	19688.2203	12.526	1.2456	13231.76	1710.194	868.8088
CON35	4439.0374	3635.947	10.4477	215.1036	1873.3768	5387.1191	0	3921.6483	0	1131.7569	196.8266	1.4222	0.0682	0	5971.7187	120.5846	32.0218	556.5378	661.2701	487.5068	523.8097	7.2975	960.0321	421.6127	9138.5124	1619.7121	0	11573.0045	105.5472	0	0	18996.959	257.6893	463.3209	17703.0378	24.3762	877.3993
CON36	4128.8939	4953.4292	16.9221	0.1653	2079.2782	2531.5536	0.0334	344.0341	0	389.1548	938.126	0	8.9836	0	4498.632	113.6755	445.9406	42.2012	3738.8346	312.5707	578.502	1.159	1321.9878	104.6402	11946.2388	1295.4295	25.3258	4769.485	103.3465	0	0	16703.0212	36.3066	246.2173	8247.5102	19.3379	1136.7741
