feature	衣原体目..Chlamydiales.	乳杆菌目..Lactobacillales.	肠杆菌目..Enterobacterales.	拟杆菌目..Bacteroidales.	支原体目..Mycoplasmatales.	梭菌目..Clostridiales.	乳酸菌目..Lachnospirales.	振荡螺旋菌目..Oscillospirales.	丙酸杆菌目..Propionibacteriales.	双歧杆菌目..Bifidobacteriales.	硒单胞菌目..Selenomonadales.
CON28	-0.625513443310336	-5.26506872385078	-2.94536526974856	-7.95463197960905	-3.86327070702587	-4.04308738851328	-7.20606783381591	-9.28012417205153	-4.24635097820252	-9.37493386543285	-22.5775482276778
CON29	-0.766828476937737	-4.54050560675863	-2.66072157366259	-4.83349483131183	-3.19839914207856	-4.58717919975099	-7.70565266963084	-7.40044178607251	-6.29209288741338	-8.89880422293069	-22.5775482276778
CON30	-0.91914182659985	-3.11967211092351	-2.22011909916702	-4.72883345277561	-4.2667489359916	-4.82788546198872	-7.31733192154403	-7.16542879311017	-9.55269416786103	-8.96851638026278	-13.8351575080519
CON31	-1.14159007498478	-4.06145512882883	-1.99990482749736	-6.88192261369859	-2.78047281324481	-3.77528185949735	-7.59713729148376	-8.45278917093133	-9.21135359718003	-14.0706785095365	-16.6951693744443
CON32	-0.931788453225314	-2.64351966330872	-2.40512758169375	-5.03275732975488	-4.84775378144621	-4.5997672154564	-5.98280216868381	-8.60255713446323	-8.9784961640007	-14.1058149940652	-15.5912418212354
CON33	-0.893807085042119	-4.26349613957852	-2.62459974479662	-3.43904070332837	-3.39188829031553	-4.23145552747574	-7.93793108633364	-9.55050581826266	-9.57156743379049	-12.6084042019709	-22.5775482276778
CON34	-0.739892133367433	-3.7145524901996	-2.34490837413769	-5.52198460672036	-4.39581442172788	-4.32071260770102	-7.77367262805822	-8.55135373670527	-9.66992260241879	-11.3809386061463	-14.1389658158404
CON35	-0.885960407625028	-3.90031656296053	-2.56632887476392	-4.84334449482662	-3.28727000917034	-3.82170540859465	-6.9662533395713	-7.54539264352319	-9.53930347844742	-11.337141337237	-22.5775482276778
CON36	-0.917602489040481	-3.6588059305077	-2.34539105947359	-5.61773237287296	-2.98223204611458	-4.88477458258761	-10.2413425099562	-6.33383153375726	-10.6025835288684	-15.1955388203431	-17.1024294159516
CON37	-0.926337633692394	-4.18940506863689	-2.62160953678373	-4.31955846867702	-2.73668199876795	-4.64514211924205	-10.5433613436458	-8.36088329186045	-6.53108730679134	-9.03230463182986	-22.5775482276778
CON38	-1.51220303625061	-4.27448410303813	-3.23814121805125	-4.32447079010226	-1.31167255262102	-5.31117760014583	-10.2205669877402	-8.1804014547138	-12.6725151770113	-6.7362123977363	-18.6150296823505
CON39	-0.756865082455554	-3.66554877153527	-3.06848623784314	-3.186834227655	-4.47308533702257	-4.57970712830351	-9.35015525218034	-6.75413342896991	-8.52068962851699	-21.5775482276778	-15.1445711185304
