feature	肠杆菌科..Enterobacteriaceae.	链球菌科..Streptococcaceae.	支原体科..Mycoplasmataceae.	梭菌科..Clostridiaceae.	乳杆菌科..Lactobacillaceae.	坦纳菌科..Tannerellaceae.	拟杆菌科..Bacteroidaceae.	肠球菌科..Enterococcaceae.	芽孢杆菌科..Bacillaceae.	毛螺菌科..Lachnospiraceae.	明串珠菌科..Leuconostocaceae.	葡萄球菌科..Staphylococcaceae.	瘤胃球菌科..Ruminococcaceae.	丙酸杆菌科..Propionibacteriaceae.	普雷沃菌科..Prevotellaceae.	双歧杆菌科..Bifidobacteriaceae.	韦荣球菌科..Veillonellaceae.	丹毒丝菌科..Erysipelotrichaceae.	柯林斯菌科..Coriobacteriaceae.	真杆菌科..Eubacteriaceae.	阿克曼氏菌科..Akkermansiaceae.
MI13	-1.33324364424299	-4.27216336941188	-2.75522062414031	-4.07777071686918	-4.13397522858639	-5.15710008911379	-4.10081349294199	-6.73565670218617	-6.13074461212077	-7.25153489097184	-2.92637903376794	-7.27456585962718	-9.03943745036327	-9.27125312558635	-19.9986317453378	-12.1914405438083	-11.580005831726	-6.85753980725488	-9.55401062319303	-5.79769258542312	-10.7991231210296
CON1	-1.49492315808114	-6.01701204860736	-2.55378586631189	-3.58697074227242	-4.2528777331131	-4.61180849209523	-3.46101535083111	-4.89159557381721	-5.61862047765428	-7.72548226853344	-5.53171597337058	-6.91428679541766	-8.98831728316508	-4.4211084755467	-19.9986317453378	-9.08478012266637	-14.639368974344	-5.69978976002931	-8.85582501355747	-4.98966370887259	-17.7993417072643
CON2	-2.09119483932468	-5.62990767508157	-2.54913650064278	-3.78091075932121	-3.27453991772536	-4.23520176977486	-2.18068097049405	-5.37316191484239	-5.37361868072902	-5.74515755680811	-8.18463294537222	-7.47877788374605	-18.8628613085084	-8.42476694909594	-15.4134516358681	-10.5554706407405	-22.2533131417301	-9.16552412242452	-6.19509021754777	-5.07917835056091	-17.7993417072643
CON3	-1.42041227013828	-5.9174713891875	-2.44439560460014	-3.54054809421368	-6.13797670097968	-4.25581319127354	-3.10288952242287	-5.07734904856109	-4.14065083527801	-7.49812411809754	-7.43806899462657	-7.72199657178107	-10.6512034481019	-7.53159124636409	-19.9986317453378	-8.89498737503612	-22.2533131417301	-9.22010609792698	-7.32640717127407	-4.68536174388436	-17.7993417072643
CON4	-1.66932517965665	-4.04275565385564	-1.97334153555987	-3.3406419366666	-6.42397536775107	-4.03928746157276	-3.58905031742296	-5.21586717242087	-5.64995259519233	-7.67709430471978	-6.94805562632521	-7.76697339171041	-9.53518759368208	-9.50936685898172	-19.9986317453378	-11.900085727535	-22.2533131417301	-8.29844448566721	-6.50139174170858	-4.86180473190316	-17.7993417072643
CON5	-2.14126385834457	-6.05357326452355	-1.31746970446987	-4.24516113253248	-5.27951741213236	-5.51739272886504	-4.60893951510392	-5.23699391819563	-3.03247309127276	-9.19645410395015	-9.67413654021799	-6.30572909527609	-8.42276851646631	-6.48162485370844	-17.0750159765002	-17.0750159765002	-6.97961895370762	-6.58116052725935	-11.7530878816128	-5.74727622457341	-14.6599784772213
CON6	-2.02691463706752	-3.53753983963525	-1.14645375815479	-2.82521432309046	-7.47036770615584	-11.5945228146478	-9.88901465200316	-5.73816849129123	-5.75503082103664	-11.3520647702572	-14.097023155177	-5.92969793955497	-18.8628613085084	-18.8519106573404	-19.9986317453378	-21.2533131417301	-9.44251972120272	-10.6424572917115	-19.2729896484762	-6.32296824227553	-17.7993417072643
CON7	-1.27392054394173	-4.06576479025349	-2.81167389258601	-5.25292750126135	-3.28565180712661	-7.21017229675692	-5.57390426407277	-3.67203108050038	-8.41981044561262	-5.87529458783535	-10.9314562686909	-13.5559471335987	-18.8628613085084	-10.2340190387113	-19.9986317453378	-3.09072086672337	-7.85550741545756	-14.5559471335987	-9.97098463287749	-7.57866721009873	-17.7993417072643
CON8	-1.14104105447383	-5.92527769858923	-3.24676625266082	-3.29800138135645	-4.08940178633959	-5.03245343434228	-4.49131520068284	-5.6229684183857	-3.9579478647412	-7.00507594053135	-9.28094225312935	-5.53606490338668	-11.5275370227914	-6.55065890824575	-19.9986317453378	-13.6599873188151	-22.2533131417301	-8.99410482271035	-8.17431279741452	-4.52496871871957	-6.17865359814735
CON9	-1.83727830813246	-7.47695536596098	-4.00914774359796	-5.6794278137379	-0.854918677420897	-10.2665355862906	-9.92008517226918	-8.78848828948597	-9.96955384853348	-8.09203785505848	-12.2258936017933	-8.64427454414648	-15.8108561025144	-11.055968600351	-19.9986317453378	-5.22934165241877	-15.0738905083482	-14.3958186032356	-9.47695536596098	-4.64657766421325	-17.7993417072643
